"(3888, 2612)",2
"(1013, 2000)",1
"(5184, 3176)",2
"(5184, 2781)",1
"(3888, 2705)",2
"(2747, 5184)",2
"(3888, 2430)",2
"(5184, 2439)",2
"(3332, 1338)",1
"(5184, 1707)",1
"(3888, 2011)",2
"(5184, 3199)",1
"(5184, 1769)",2
"(3888, 1810)",1
"(5184, 1751)",1
"(4128, 1399)",1
"(5184, 2043)",1
"(3195, 4545)",2
"(3424, 5184)",2
"(4294, 2311)",1
"(1909, 5184)",1
"(5184, 2420)",1
"(1571, 5184)",1
"(3606, 3768)",1
"(5184, 1741)",2
"(3888, 1986)",1
"(5184, 1776)",2
"(3271, 3568)",2
"(1648, 5184)",1
"(3888, 4480)",1
"(3888, 3029)",1
"(3888, 2451)",1
"(775, 1416)",2
"(4495, 1722)",1
"(3268, 2528)",1
"(1444, 5184)",1
"(3543, 3902)",1
"(1895, 5184)",1
"(3888, 2627)",2
"(5184, 2867)",1
"(3888, 4163)",1
"(2501, 2253)",1
"(3078, 5184)",1
"(2177, 1937)",1
"(5154, 3072)",1
"(4032, 3024)",1
"(3888, 2421)",2
"(3888, 4026)",1
"(5184, 1541)",1
"(3888, 3310)",1
"(3626, 5184)",1
"(3303, 3528)",1
"(5184, 3036)",2
"(4910, 1372)",1
"(5184, 2094)",1
"(3237, 2897)",1
"(4566, 2000)",1
"(4420, 1648)",1
"(5184, 3888)",103
"(3888, 5184)",114
"(2444, 5086)",1
"(2916, 5184)",1
"(1682, 5184)",1
"(2409, 5184)",2
"(5184, 2009)",1
"(5184, 2163)",1
"(3888, 1864)",2
"(3888, 1437)",1
"(3888, 2395)",1
"(3888, 4149)",1
"(3888, 5107)",1
"(1663, 5184)",1
"(5184, 2076)",1
"(3888, 2789)",1
"(3226, 2359)",1
"(5184, 1432)",1
"(2395, 3353)",1
"(3888, 3254)",1
"(2360, 2275)",1
"(2430, 3146)",1
"(5184, 2085)",1
"(2958, 4620)",1
"(3888, 4212)",1
"(3888, 1676)",1
"(185, 273)",1
"(2829, 3939)",2
"(2332, 3536)",1
"(5184, 1837)",2
"(5184, 1938)",1
"(3888, 2359)",1
"(3145, 5097)",2
"(5184, 1777)",1
"(2765, 5159)",1
"(5184, 1413)",2
"(5184, 1098)",1
"(5184, 2111)",2
"(4077, 1896)",1
"(3888, 2874)",1
"(2768, 3219)",1
"(3761, 3515)",1
"(1901, 5184)",1
"(4032, 2268)",1
